fleet_id,vehicle,fuel_type,fuel_liters,dist_km,mpg,year,km_per_liter,litros_teoricos,co2_kg,vehicle_cat
MF61YUB,SMALL VAN,D,210.88,2785.76754,44.91,2013,13.210202674506828,210.88,565.1584,Van
MF61YUC,SMALL VAN,D,633.76,8764.46564,41.79,2013,13.829313367836406,633.76,1698.4768000000001,Van
MJ10UEC,SMALL VAN,D,377.44,3756.19956,28.11,2013,9.951779249682069,377.44,1011.5392,Van
1115,SMALL VAN,D,852.53,14802.70932,49.04,2013,17.363270876098202,852.53,2284.7804,Van
92,CAR,D,1570.37,35477.9003,63.81,2013,22.592064481618984,1570.37,4208.5916,Car
91,CAR,D,2305.54,53261.1073,65.25,2013,23.101359030856113,2305.54,6178.8472,Car
MN60HCG,SMALL VAN,D,244.23,3802.87042,52.83,2013,15.570857060967123,244.23,654.5364,Van
NA11OTN,CAR,D,361.29,5722.81304,44.74,2013,15.839943092806331,361.29,968.2572000000001,Car
NA12KXS,CAR,D,375.99,5238.4017,41.03,2013,13.932289954520067,375.99,1007.6532000000001,Car
ND09BYN,MED VAN,D,1404.98,11542.18648,23.2,2013,8.215196287491636,1404.98,3765.3464000000004,Van
ND11PWZ,CAR,D,160.65,2105.01672,37.01,2013,13.103123062558357,160.65,430.54200000000003,Car
ND11PXV,CAR,D,380.61,3629.0617,26.93,2013,9.534856414702714,380.61,1020.0348000000001,Car
ND11PYP,CAR,D,1066.25,14607.97918,38.7,2013,13.700332173505275,1066.25,2857.55,Car
ND12KHL,SMALL VAN,D,1025.2,8011.29452,23.57,2013,7.814372337104955,1025.2,2747.5360000000005,Van
ND60NFK,CAR,D,1831.31,23866.5122,36.81,2013,13.032480683226762,1831.31,4907.910800000001,Car
NL06GXD,MINIBUS,D,34.5,1345.40824,110.14,2013,38.997340289855075,34.5,92.46000000000001,Bus
NL11PDU,CAR,D,219.0,2737.48734,35.31,2013,12.499942191780823,219.0,586.9200000000001,Car
NL13XLX,CAR,D,286.04,3221.89868,36.7,2013,11.263804642707312,286.04,766.5872,Car
NL62EYR,CAR,D,534.21,6947.52078,36.73,2013,13.005224125343965,534.21,1431.6828000000003,Car
NU11RHK,CAR,D,769.3,12211.67192,44.83,2013,15.873744858962695,769.3,2061.724,Car
NU61CZL,MED VAN,D,480.88,5590.84716,32.84,2013,11.626283397105308,480.88,1288.7584000000002,Van
NV60UFS,SMALL VAN,D,816.43,11279.86406,39.02,2013,13.816082285070369,816.43,2188.0324,Van
3303,LIBRARY BU,D,2680.45,5277.0,5.64,2013,1.968699285567722,2680.45,7183.606,Bus
3304,LIBRARY BU,D,3555.87,11015.0,8.79,2013,3.097694797616336,3555.87,9529.731600000001,Bus
OW04BKU,LARGE VAN,D,2518.01,22857.45602,25.64,2013,9.077587467881383,2518.01,6748.266800000001,Van
PARKING M,MASTER,D,1153.6,,,2013,,,3091.648,Van
PJ10XYD,SMALL VAN,D,453.58,5611.76858,38.77,2013,12.37216936372856,453.58,1215.5944,Van
PMCMAST,MASTER,D,2085.5,,,2013,,,5589.14,Van
PMGENMAST,MASTER,D,243.95,3.21868,0.11,2013,0.013194015167042427,243.95,653.7860000000001,Van
PN07FYF,3 AXLE BIN,D,718.05,796.0,3.13,2013,1.1085578998676973,718.05,1924.374,Truck
WS07/4,TRACTOR,D,3664.63,,0.14,2013,,,9821.208400000001,Truck
WS07/03,TRACTOR,D,2377.09,,0.19,2013,,,6370.601200000001,Truck
WS07/56,TRACTOR,D,267.26,,0.11,2013,,,716.2568,Truck
WS07/55,TRACTOR,D,196.03,,1.09,2013,,,525.3604,Truck
5015,18TN D/M,D,6548.93,15824.0,6.82,2013,2.4162725819332316,6548.93,17551.132400000002,Truck
5019,18TN D/M,D,6888.95,17723.0,7.27,2013,2.5726707263080733,6888.95,18462.386000000002,Truck
5016,18TN D/M,D,6469.4,17052.0,7.44,2013,2.635793118372647,6469.4,17337.992,Truck
5020,18TN D/M,D,6132.33,15661.0,7.21,2013,2.5538416882326946,6132.33,16434.6444,Truck
5017,18TN D/M,D,6967.62,18832.0,7.63,2013,2.7027880395314328,6967.619999999999,18673.2216,Truck
5018,18TN D/M,D,6280.35,17229.0,7.75,2013,2.74331844562803,6280.35,16831.338000000003,Truck
5013,18TN D/M,D,6019.89,16061.0,7.54,2013,2.6679889499642018,6019.89,16133.305200000003,Truck
5014,18TN D/M,D,5557.08,13613.0,6.92,2013,2.4496678111526196,5557.08,14892.974400000001,Truck
3107,MED TIPPER,D,5916.1,34964.0,16.69,2013,5.909974476428728,5916.1,15855.148000000001,Truck
3105,MED VAN,D,277.66,9274.0,94.34,2013,33.4005618382194,277.66,744.1288000000001,Van
3106,MED TIPPER,D,5167.22,35151.0,19.21,2013,6.802690808597273,5167.22,13848.1496,Truck
5025,18TN D/M,D,6902.91,19500.0,7.98,2013,2.8248955875130926,6902.909999999999,18499.7988,Truck
WS09/87,TRACTOR,D,385.5,,0.74,2013,,,1033.14,Truck
239,WELFARE,D,804.13,5582.80046,21.18,2013,6.942659097409623,804.13,2155.0684,Bus
PN59YNA,SMALL VAN,D,809.68,10702.111,39.48,2013,13.217704525244542,809.68,2169.9424,Van
